_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_,COUNT_CLEARED
1895,2017,D42,Crimes Against Property,Break & Enter-Apartment,4,0
1896,2023,D32,Crimes Against Property,Break & Enter-House,6,0
1897,2014,D32,Crimes Against Property,Auto Theft,70,0
1898,2023,D32,Crimes Against Property,Theft Over $5000,2,0
1899,2023,D53,Crimes Against the Person,Robbery-Other,1,0
1900,2016,D12,Crimes Against the Person,Robbery-Other,3,0
1901,2021,D11,Crimes Against Property,Fraud,4,0
1902,2019,D55,Crimes Against Property,Auto Theft,1,0
1903,2023,D11,Crimes Against Property,Theft Over $5000,4,0
1904,2023,D33,Crimes Against Property,Theft Over $5000,1,0
1905,2017,D12,Crimes Against Property,Theft Over $5000,2,0
1906,2017,D32,Crimes Against the Person,Robbery-Other,5,0
1907,2023,D42,Crimes Against Property,Break & Enter-Other,1,0
1908,2023,D13,Crimes Against Property,Auto Theft,1,0
1909,2016,D53,Crimes Against Property,Auto Theft,2,0
1910,2018,D53,Crimes Against the Person,Sexual Violation,4,0
1911,2019,D23,Crimes Against Property,Break & Enter-Other,2,0
1912,2022,D51,Crimes Against Property,Break & Enter-Commercial,1,0
1913,2023,D31,Crimes Against Property,Break & Enter-Commercial,2,0
1914,2014,D33,Crimes Against Property,Break & Enter-House,25,0
1915,2018,D22,Crimes Against Property,Theft Over $5000,1,0
1916,2018,D42,Crimes Against Property,Break & Enter-Other,1,0
1917,2016,D42,Crimes Against Property,Theft Under $5000,1,0
1918,2016,D53,Crimes Against Property,Break & Enter-Apartment,7,0
1919,2017,D23,Crimes Against Property,Theft Over $5000,4,0
1920,2014,D11,Crimes Against Property,Break & Enter-House,5,0
1921,2019,D42,Crimes Against Property,Break & Enter-Apartment,2,0
1922,2023,D33,Criminal Code Traffic,Other,1,0
1923,2015,D33,Crimes Against Property,Break & Enter-Apartment,18,0
1924,2019,D13,Crimes Against Property,Fraud,14,0
1925,2019,D22,Crimes Against the Person,Robbery-Financial,1,0
1926,2021,D51,Crimes Against Property,Break & Enter-Other,1,0
1927,2020,D53,Crimes Against the Person,Robbery-Other,1,0
1928,2020,NSA,Crimes Against Property,Fraud,1,0
1929,2023,D52,Crimes Against Property,Fraud,2,0
1930,2015,D32,Crimes Against Property,Theft Over $5000,5,0
1931,2020,D11,Crimes Against the Person,Assault,1,0
1932,2014,D13,Crimes Against Property,Break & Enter-Other,2,0
1933,2018,D51,Crimes Against Property,Auto Theft,7,0
1934,2021,NSA,Crimes Against Property,Break & Enter-Other,1,0
1935,2019,D33,Crimes Against Property,Break & Enter-Commercial,11,0
1936,2015,D12,Crimes Against Property,Theft Over $5000,1,0
1937,2016,D31,Crimes Against the Person,Robbery-Other,1,0
1938,2023,D13,Crimes Against Property,Theft Under $5000,1,0
1939,2021,D11,Crimes Against Property,Break & Enter-Commercial,2,0
1940,2015,D12,Crimes Against the Person,Attempt Murder,2,0
1941,2016,D22,Crimes Against Property,Theft Over $5000,10,0
1942,2017,D22,Crimes Against Property,Break & Enter-Apartment,1,0
1943,2014,D31,Crimes Against the Person,Sexual Violation,2,0
1944,2015,D42,Crimes Against Property,Theft Over $5000,3,0
1945,2017,D32,Crimes Against Property,Auto Theft,6,0
1946,2014,D53,Crimes Against Property,Break & Enter-Commercial,1,0
1947,2016,D33,Crimes Against the Person,Attempt Murder,1,0
1948,2022,D41,Crimes Against the Person,Robbery-Other,2,0
1949,2017,NSA,Crimes Against Property,Fraud,1,0
1950,2022,D23,Crimes Against Property,Auto Theft,14,0
1951,2022,D22,Crimes Against Property,Break & Enter-Apartment,1,0
1952,2021,D52,Crimes Against Property,Fraud,1,0
1953,2023,D11,Crimes Against Property,Break & Enter-Other,2,0
1954,2014,D43,Crimes Against Property,Break & Enter-Commercial,5,0
1955,2017,NSA,Crimes Against the Person,Sexual Violation,2,0
1956,2023,D43,Crimes Against Property,Break & Enter-Commercial,3,0
1957,2023,D14,Crimes Against Property,Theft Over $5000,5,0
1958,2017,D33,Crimes Against Property,Break & Enter-Other,2,0
1959,2016,D32,Crimes Against the Person,Other,1,0
1960,2014,D43,Crimes Against Property,Theft Over $5000,1,0
1961,2014,D23,Crimes Against Property,Theft Over $5000,4,0
1962,2017,D32,Crimes Against Property,Break & Enter-Apartment,2,0
1963,2017,D33,Crimes Against Property,Break & Enter-Commercial,1,0
1964,2021,D32,Crimes Against Property,Fraud,59,0
1965,2015,D55,Crimes Against Property,Auto Theft,7,0
1966,2019,D33,Crimes Against Property,Break & Enter-Commercial,1,0
1967,2022,D55,Crimes Against Property,Theft Over $5000,9,0
1968,2017,D31,Crimes Against Property,Break & Enter-Commercial,6,0
1969,2021,D13,Crimes Against Property,Theft Under $5000,2,0
1970,2014,D32,Crimes Against the Person,Robbery-Other,1,0
1971,2022,D23,Crimes Against Property,Auto Theft,1,0
1972,2019,NSA,Crimes Against the Person,Assault,1,0
1973,2023,D55,Crimes Against Property,Break & Enter-Other,1,0
1974,2023,D14,Crimes Against Property,Auto Theft,2,0
1975,2014,D53,Crimes Against Property,Auto Theft,1,0
1976,2022,D11,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,2,0
1977,2016,D32,Crimes Against the Person,Other,1,0
1978,2015,D32,Crimes Against Property,Break & Enter-Other,1,0
1979,2016,D11,Crimes Against Property,Break & Enter-Other,1,0
1980,2023,D55,Crimes Against Property,Auto Theft,24,0
1981,2015,D23,Crimes Against Property,Other,1,0
1982,2020,D42,Crimes Against the Person,Attempt Murder,1,0
1983,2021,D33,Crimes Against Property,Theft Over $5000,4,0
1984,2017,D42,Crimes Against Property,Break & Enter-Other,2,0
1985,2017,D33,Crimes Against Property,Theft Under $5000,3,0
1986,2020,D55,Crimes Against Property,Break & Enter-Other,2,0
1987,2023,D43,Crimes Against Property,Auto Theft,17,0
1988,2015,D42,Crimes Against Property,Auto Theft,21,0
1989,2015,D11,Crimes Against Property,Auto Theft,12,0
1990,2022,D11,Crimes Against the Person,Sexual Violation,3,0
1991,2020,D33,Crimes Against Property,Break & Enter-Commercial,5,0
1992,2020,D13,Crimes Against Property,Break & Enter-Other,5,0
1993,2017,D42,Crimes Against Property,Other,1,0
1994,2022,D52,Other Federal Statute Violations,Other,1,0
1995,2014,D32,Crimes Against Property,Break & Enter-Other,3,0
1996,2018,D33,Crimes Against the Person,Attempt Murder,1,0
1997,2021,D55,Crimes Against Property,Theft Under $5000,1,0
1998,2023,D41,Crimes Against Property,Break & Enter-Other,3,0
1999,2014,D33,Crimes Against Property,Theft Under $5000,1,0
2000,2023,NSA,Crimes Against the Person,Sexual Violation,1,0
2001,2015,D22,Crimes Against Property,Break & Enter-Other,3,0
2002,2021,D22,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,0
2003,2020,D22,Controlled Drugs and Substances Act,Other,1,0
2004,2015,D55,Crimes Against Property,Other,2,0
2005,2021,D55,Crimes Against Property,Auto Theft,11,0
2006,2021,D52,Other Federal Statute Violations,Other,2,0
2007,2017,D22,Crimes Against Property,Break & Enter-Other,1,0
2008,2019,D23,Crimes Against Property,Break & Enter-House,2,0
2009,2016,D32,Crimes Against Property,Auto Theft,7,0
2010,2016,D53,Crimes Against Property,Other,1,0
2011,2015,D14,Crimes Against the Person,Attempt Murder,2,0
2012,2022,D23,Crimes Against the Person,Robbery-Financial,2,0
2013,2015,D51,Crimes Against Property,Break & Enter-House,1,0
2014,2020,D23,Other Criminal Code Violations,Other,1,0
2015,2020,D33,Crimes Against Property,Auto Theft,28,0
2016,2021,D11,Crimes Against Property,Theft Over $5000,4,0
2017,2021,D55,Crimes Against the Person,Other,1,0
2018,2023,D55,Crimes Against Property,Other,2,0
2019,2022,D31,Crimes Against Property,Break & Enter-Other,4,0
2020,2020,D13,Crimes Against Property,Fraud,32,0
2021,2019,D13,Crimes Against Property,Break & Enter-Other,4,0
2022,2016,D55,Crimes Against Property,Break & Enter-Commercial,1,0
2023,2022,D33,Crimes Against Property,Other,7,0
2024,2017,D32,Crimes Against Property,Auto Theft,3,0
2025,2023,D22,Crimes Against Property,Break & Enter-Commercial,2,0
2026,2019,D11,Crimes Against the Person,Other,3,0
2027,2017,D52,Crimes Against Property,Theft Under $5000,1,0
2028,2023,D33,Crimes Against Property,Theft Over $5000,1,0
2029,2015,D52,Crimes Against Property,Break & Enter-Other,2,0
2030,2014,D22,Crimes Against Property,Auto Theft,3,0
2031,2018,D13,Crimes Against Property,Break & Enter-Apartment,5,0
2032,2022,D52,Crimes Against Property,Auto Theft,1,0
2033,2016,D53,Crimes Against the Person,Robbery-Other,2,0
2034,2022,D22,Other Federal Statute Violations,Other,1,0
2035,2021,D55,Crimes Against Property,Break & Enter-Other,3,0
2036,2017,D14,Crimes Against Property,Break & Enter-Commercial,5,0
2037,2023,D43,Crimes Against the Person,Assault,1,0
2038,2021,D52,Crimes Against Property,Break & Enter-Other,4,0
2039,2023,D55,Crimes Against Property,Fraud,58,0
2040,2019,D53,Crimes Against Property,Break & Enter-House,2,0
2041,2021,D53,Crimes Against Property,Fraud,12,0
2042,2022,D11,Crimes Against Property,Fraud,9,0
2043,2022,D55,Crimes Against Property,Auto Theft,22,0
2044,2017,D53,Crimes Against the Person,Robbery-Financial,1,0
2045,2020,D33,Crimes Against the Person,Robbery-Other,2,0
2046,2019,D42,Crimes Against Property,Break & Enter-Other,2,0
2047,2022,D42,Crimes Against Property,Theft Over $5000,14,0
2048,2022,D42,Controlled Drugs and Substances Act,Other,1,0
2049,2022,D13,Crimes Against Property,Break & Enter-House,3,0
2050,2015,NSA,Crimes Against Property,Fraud,1,0
2051,2015,D53,Crimes Against the Person,Robbery-Other,3,0
2052,2018,D32,Crimes Against Property,Break & Enter-Commercial,1,0
2053,2023,D11,Crimes Against Property,Auto Theft,17,0
2054,2017,D13,Crimes Against Property,Theft Over $5000,5,0
2055,2017,D12,Crimes Against Property,Break & Enter-Commercial,5,0
2056,2020,D53,Crimes Against Property,Fraud,1,0
2057,2015,D23,Crimes Against Property,Break & Enter-Commercial,3,0
2058,2015,D23,Crimes Against Property,Theft Over $5000,4,0
2059,2023,D43,Crimes Against Property,Break & Enter-Commercial,1,0
2060,2022,D53,Crimes Against Property,Break & Enter-House,4,0
2061,2017,D12,Crimes Against Property,Break & Enter-Other,3,0
2062,2022,D53,Crimes Against Property,Theft Under $5000,1,0
2063,2014,D51,Crimes Against Property,Break & Enter-Commercial,1,0
2064,2021,D31,Crimes Against Property,Break & Enter-Apartment,3,0
2065,2019,D13,Crimes Against Property,Break & Enter-Other,1,0
2066,2015,D53,Crimes Against Property,Break & Enter-House,1,0
2067,2015,D52,Crimes Against Property,Break & Enter-Apartment,5,0
2068,2016,D31,Crimes Against Property,Break & Enter-House,12,0
2069,2015,D52,Crimes Against Property,Theft Under $5000,1,0
2070,2019,D42,Crimes Against Property,Theft Over $5000,3,0
2071,2018,D32,Crimes Against Property,Fraud,1,0
2072,2019,NSA,Crimes Against the Person,Sexual Violation,1,0
2073,2022,D11,Crimes Against the Person,Attempt Murder,1,0
2074,2023,D13,Crimes Against Property,Auto Theft,26,0
2075,2018,D33,Crimes Against the Person,Sexual Violation,1,0
2076,2016,D53,Crimes Against the Person,Assault,1,0
2077,2015,D12,Crimes Against Property,Break & Enter-Apartment,1,0
2078,2021,D12,Crimes Against Property,Fraud,23,0
2079,2021,D32,Crimes Against Property,Fraud,19,0
2080,2022,D13,Crimes Against Property,Other,1,0
2081,2017,D11,Crimes Against Property,Auto Theft,4,0
2082,2019,D22,Crimes Against Property,Break & Enter-House,4,0
2083,2019,D14,Crimes Against Property,Break & Enter-House,4,0
2084,2016,D22,Crimes Against Property,Other,1,0
2085,2016,D31,Crimes Against the Person,Assault,1,0
2086,2014,D53,Crimes Against Property,Break & Enter-Apartment,1,0
2087,2021,D12,Crimes Against Property,Break & Enter-Other,1,0
2088,2021,D42,Crimes Against Property,Theft Over $5000,1,0
2089,2020,D33,Crimes Against Property,Theft Over $5000,3,0
2090,2023,D41,Crimes Against Property,Theft Over $5000,1,0
2091,2023,D43,Crimes Against Property,Break & Enter-Other,1,0
2092,2022,D53,Crimes Against Property,Break & Enter-Other,5,0
2093,2015,D13,Crimes Against Property,Break & Enter-House,4,0
2094,2023,D32,Crimes Against Property,Break & Enter-Apartment,4,0
2095,2016,D33,Crimes Against the Person,Sexual Violation,2,0
2096,2020,D13,Crimes Against Property,Break & Enter-Apartment,1,0
2097,2022,NSA,Crimes Against the Person,Assault,1,0
2098,2018,D42,Crimes Against the Person,Attempt Murder,1,0
2099,2015,D33,Crimes Against Property,Break & Enter-Commercial,1,0
2100,2015,D53,Crimes Against Property,Break & Enter-Commercial,2,0
2101,2023,D33,Crimes Against Property,Other,1,0
2102,2017,D32,Crimes Against Property,Fraud,1,0
2103,2021,D32,Crimes Against Property,Break & Enter-Apartment,2,0
2104,2020,D33,Crimes Against the Person,Sexual Violation,1,0
2105,2015,NSA,Crimes Against the Person,Sexual Violation,1,0
2106,2019,D55,Crimes Against the Person,Attempt Murder,1,0
2107,2017,D42,Crimes Against the Person,Sexual Violation,5,0
2108,2015,D33,Crimes Against Property,Theft Under $5000,1,0
2109,2023,D53,Crimes Against Property,Break & Enter-Commercial,1,0
2110,2016,D12,Crimes Against Property,Theft Over $5000,1,0
2111,2020,D43,Crimes Against Property,Break & Enter-Other,1,0
2112,2015,D32,Crimes Against Property,Theft Over $5000,1,0
2113,2017,D23,Crimes Against Property,Other,3,0
2114,2022,D22,Crimes Against Property,Break & Enter-Commercial,2,0
2115,2014,D13,Crimes Against the Person,Robbery-Financial,1,0
2116,2022,D11,Crimes Against the Person,Robbery-Financial,1,0
2117,2021,D23,Crimes Against Property,Break & Enter-Other,1,0
2118,2016,D12,Crimes Against Property,Other,1,0
2119,2022,D42,Crimes Against Property,Break & Enter-House,16,0
2120,2017,D32,Crimes Against Property,Auto Theft,14,0
2121,2021,D14,Crimes Against Property,Theft Over $5000,6,0
2122,2020,NSA,Crimes Against the Person,Assault,1,0
2123,2022,D53,Crimes Against Property,Auto Theft,32,0
2124,2014,D42,Crimes Against Property,Break & Enter-Apartment,1,0
2125,2017,NSA,Crimes Against Property,Fraud,1,0
2126,2015,D32,Crimes Against Property,Break & Enter-Apartment,1,0
2127,2015,D33,Crimes Against the Person,Robbery-Other,1,0
2128,2021,NSA,Crimes Against the Person,Sexual Violation,2,0
2129,2020,D55,Other Federal Statute Violations,Other,1,0
2130,2015,D51,Crimes Against Property,Break & Enter-House,5,0
2131,2020,D55,Crimes Against Property,Theft Over $5000,5,0
2132,2016,D23,Crimes Against Property,Theft Under $5000,4,0
2133,2016,NSA,Crimes Against Property,Fraud,1,0
2134,2020,D53,Crimes Against Property,Break & Enter-Other,3,0
2135,2017,D55,Crimes Against Property,Break & Enter-Apartment,4,0
2136,2017,D42,Crimes Against Property,Break & Enter-Commercial,4,0
2137,2016,D33,Crimes Against Property,Break & Enter-Apartment,1,0
2138,2022,D11,Crimes Against Property,Break & Enter-Other,1,0
2139,2015,D55,Crimes Against Property,Break & Enter-Other,2,0
2140,2014,D52,Crimes Against the Person,Robbery-Other,7,0
2141,2016,D33,Crimes Against Property,Theft Over $5000,2,0
2142,2022,D14,Crimes Against Property,Fraud,6,0
2143,2020,D23,Crimes Against Property,Other,3,0
2144,2015,D23,Crimes Against the Person,Robbery-Other,6,0
2145,2020,D41,Other Federal Statute Violations,Other,1,0
2146,2022,D22,Criminal Code Traffic,Other,1,0
2147,2021,D33,Crimes Against Property,Break & Enter-Commercial,6,0
2148,2016,D52,Other Criminal Code Violations,Other,1,0
2149,2017,D32,Crimes Against Property,Theft Over $5000,1,0
2150,2019,D12,Crimes Against Property,Break & Enter-House,2,0
2151,2021,D11,Crimes Against Property,Break & Enter-Other,1,0
2152,2019,D23,Crimes Against Property,Break & Enter-Commercial,3,0
2153,2020,D13,Crimes Against Property,Break & Enter-Other,1,0
2154,2022,D51,Crimes Against Property,Theft Under $5000,1,0
2155,2020,D53,Crimes Against Property,Break & Enter-Other,6,0
2156,2016,D55,Crimes Against Property,Fraud,2,0
2157,2016,D42,Crimes Against Property,Break & Enter-Other,2,0
2158,2021,D52,Crimes Against Property,Break & Enter-Other,2,0
2159,2022,D51,Crimes Against Property,Theft Under $5000,1,0
2160,2020,NSA,Crimes Against the Person,Sexual Violation,1,0
2161,2020,D22,Crimes Against Property,Auto Theft,29,0
2162,2014,D52,Crimes Against the Person,Assault,1,0
2163,2022,D55,Crimes Against Property,Break & Enter-Apartment,1,0
2164,2015,D52,Crimes Against the Person,Assault,2,0
2165,2017,D52,Crimes Against Property,Theft Over $5000,7,0
2166,2022,D55,Crimes Against Property,Break & Enter-Other,1,0
2167,2020,D31,Crimes Against Property,Break & Enter-Other,3,0
2168,2023,D33,Crimes Against Property,Break & Enter-Apartment,4,0
2169,2018,D11,Crimes Against Property,Theft Over $5000,2,0
2170,2023,D42,Crimes Against Property,Auto Theft,53,0
2171,2020,D41,Crimes Against Property,Auto Theft,4,0
2172,2022,D43,Crimes Against Property,Break & Enter-Other,1,0
2173,2021,D55,Crimes Against the Person,Assault,2,0
2174,2020,D55,Crimes Against Property,Break & Enter-Other,6,0
2175,2017,D14,Crimes Against Property,Theft Over $5000,4,0
2176,2018,D41,Crimes Against Property,Break & Enter-Other,7,0
2177,2022,D23,Crimes Against Property,Theft Over $5000,5,0
2178,2016,D31,Crimes Against Property,Theft Over $5000,1,0
2179,2019,D33,Crimes Against Property,Break & Enter-Commercial,1,0
2180,2020,D14,Crimes Against Property,Auto Theft,1,0
2181,2023,D53,Crimes Against Property,Theft Over $5000,1,0
2182,2023,D43,Crimes Against Property,Break & Enter-Other,1,0
2183,2015,D14,Crimes Against Property,Auto Theft,1,0
2184,2017,D12,Crimes Against Property,Break & Enter-House,2,0
2185,2020,D43,Crimes Against the Person,Attempt Murder,1,0
2186,2014,D23,Crimes Against Property,Other,3,0
2187,2017,D22,Crimes Against Property,Theft Over $5000,1,0
2188,2022,D33,Crimes Against Property,Theft Over $5000,2,0
2189,2014,D52,Crimes Against Property,Theft Under $5000,1,0
2190,2018,D22,Crimes Against Property,Break & Enter-Other,2,0
2191,2020,D33,Crimes Against Property,Theft Over $5000,2,0
2192,2021,D55,Crimes Against Property,Break & Enter-Other,2,0
2193,2017,D51,Crimes Against Property,Auto Theft,1,0
2194,2022,D33,Crimes Against Property,Theft Over $5000,6,0
2195,2017,D52,Crimes Against the Person,Sexual Violation,1,0
2196,2018,D53,Crimes Against Property,Theft Over $5000,3,0
2197,2014,D32,Crimes Against Property,Theft Over $5000,3,0
2198,2019,D53,Crimes Against Property,Auto Theft,6,0
2199,2022,D14,Other Criminal Code Violations,Other,1,0
2200,2019,D22,Crimes Against Property,Break & Enter-Apartment,2,0
2201,2023,D51,Crimes Against Property,Break & Enter-Other,1,0
2202,2022,D42,Crimes Against Property,Theft Over $5000,4,0
2203,2014,D32,Crimes Against Property,Break & Enter-Commercial,5,0
2204,2022,D12,Crimes Against Property,Theft Over $5000,5,0
2205,2019,D32,Crimes Against Property,Break & Enter-Commercial,3,0
2206,2020,D42,Crimes Against Property,Auto Theft,1,0
2207,2016,D33,Crimes Against Property,Theft Under $5000,1,0
2208,2021,D42,Crimes Against Property,Break & Enter-House,10,0
2209,2015,D22,Crimes Against Property,Break & Enter-Apartment,4,0
2210,2017,D14,Crimes Against Property,Auto Theft,10,0
2211,2020,D55,Crimes Against Property,Break & Enter-Other,1,0
2212,2023,D11,Crimes Against Property,Fraud,10,0
2213,2023,D31,Crimes Against Property,Theft Over $5000,13,0
2214,2022,D41,Crimes Against Property,Theft Under $5000,41,0
2215,2014,D31,Crimes Against Property,Theft Over $5000,1,0
2216,2020,NSA,Crimes Against the Person,Sexual Violation,1,0
2217,2016,D31,Crimes Against the Person,Robbery-Financial,2,0
2218,2016,D41,Crimes Against Property,Break & Enter-Other,2,0
2219,2022,D42,Crimes Against Property,Break & Enter-House,2,0
2220,2015,D43,Crimes Against the Person,Robbery-Other,3,0
2221,2014,D32,Crimes Against the Person,Sexual Violation,1,0
2222,2023,D31,Crimes Against Property,Theft Over $5000,3,0
2223,2016,D23,Crimes Against Property,Break & Enter-Other,2,0
2224,2015,D52,Crimes Against Property,Auto Theft,1,0
2225,2022,D51,Crimes Against the Person,Sexual Violation,1,0
2226,2016,D13,Crimes Against Property,Theft Over $5000,6,0
2227,2020,D11,Crimes Against Property,Auto Theft,7,0
2228,2014,D22,Crimes Against Property,Fraud,1,0
2229,2021,D53,Crimes Against Property,Auto Theft,16,0
2230,2017,NSA,Crimes Against Property,Fraud,1,0
2231,2020,D22,Crimes Against Property,Theft Under $5000,4,0
2232,2017,D14,Crimes Against Property,Break & Enter-House,1,0
2233,2016,D23,Crimes Against Property,Auto Theft,3,0
2234,2020,D32,Crimes Against Property,Theft Over $5000,10,0
2235,2022,D51,Crimes Against Property,Break & Enter-House,2,0
2236,2022,D41,Crimes Against Property,Theft Over $5000,1,0
2237,2020,D11,Crimes Against the Person,Robbery-Other,1,0
2238,2015,D33,Crimes Against Property,Break & Enter-Other,3,0
2239,2017,D55,Crimes Against Property,Break & Enter-Commercial,2,0
2240,2021,D31,Crimes Against Property,Break & Enter-Apartment,4,0
2241,2018,D32,Crimes Against Property,Theft Over $5000,4,0
2242,2014,D11,Crimes Against Property,Break & Enter-Apartment,1,0
2243,2023,D51,Crimes Against Property,Theft Over $5000,1,0
2244,2017,D55,Crimes Against Property,Auto Theft,11,0
2245,2021,D55,Crimes Against Property,Auto Theft,13,0
2246,2022,D13,Crimes Against Property,Break & Enter-Other,1,0
2247,2015,D55,Crimes Against Property,Break & Enter-Other,1,0
2248,2018,D53,Other Criminal Code Violations,Other Criminal Violations - Offensive Weapons,1,0
2249,2021,D13,Crimes Against Property,Theft Over $5000,3,0
2250,2022,D33,Crimes Against Property,Break & Enter-Commercial,7,0
2251,2023,D55,Crimes Against Property,Fraud,22,0
2252,2019,D33,Crimes Against Property,Fraud,5,0
2253,2020,D53,Crimes Against Property,Break & Enter-Apartment,3,0
2254,2017,NSA,Crimes Against the Person,Sexual Violation,1,0
2255,2019,D32,Crimes Against Property,Theft Over $5000,1,0
2256,2020,D22,Other Federal Statute Violations,Other,1,0
2257,2014,D53,Crimes Against the Person,Other,1,0
2258,2021,D22,Crimes Against Property,Break & Enter-Commercial,6,0
2259,2015,D53,Crimes Against Property,Theft Over $5000,1,0
2260,2018,D33,Crimes Against Property,Theft Under $5000,6,0
2261,2020,D42,Crimes Against the Person,Other,1,0
2262,2021,D33,Crimes Against Property,Fraud,1,0
2263,2018,D12,Crimes Against Property,Auto Theft,1,0
2264,2021,D53,Crimes Against Property,Break & Enter-Other,2,0
2265,2023,D53,Crimes Against Property,Break & Enter-Commercial,11,0
2266,2021,D11,Crimes Against Property,Auto Theft,5,0
2267,2023,D55,Crimes Against Property,Fraud,1,0
2268,2020,D55,Crimes Against Property,Break & Enter-Other,1,0
2269,2021,D53,Crimes Against Property,Fraud,23,0
2270,2020,D13,Crimes Against Property,Break & Enter-Apartment,3,0
2271,2023,D22,Crimes Against Property,Fraud,3,0
2272,2019,D33,Crimes Against Property,Break & Enter-Commercial,4,0
2273,2015,D53,Crimes Against Property,Break & Enter-Apartment,3,0
2274,2014,D22,Crimes Against Property,Break & Enter-Other,2,0
2275,2020,D23,Crimes Against Property,Fraud,4,0
2276,2015,D33,Crimes Against Property,Auto Theft,2,0
2277,2014,D13,Crimes Against Property,Break & Enter-Other,3,0
2278,2020,D31,Crimes Against Property,Theft Over $5000,1,0
2279,2015,D11,Crimes Against Property,Auto Theft,2,0
2280,2021,D23,Crimes Against the Person,Assault,1,0
2281,2023,D55,Crimes Against Property,Fraud,1,0
2282,2017,D55,Crimes Against Property,Break & Enter-House,9,0
2283,2018,D23,Crimes Against Property,Break & Enter-Apartment,13,0
2284,2022,D42,Crimes Against the Person,Sexual Violation,2,0
2285,2018,D53,Crimes Against Property,Fraud,37,0
2286,2023,D41,Crimes Against Property,Theft Over $5000,1,0
2287,2017,D43,Crimes Against Property,Theft Over $5000,4,0
2288,2022,D33,Crimes Against Property,Break & Enter-House,12,0
2289,2020,D32,Crimes Against Property,Theft Over $5000,1,0
2290,2019,D53,Crimes Against Property,Theft Over $5000,3,0
2291,2021,D23,Crimes Against Property,Auto Theft,2,0
2292,2023,D51,Crimes Against Property,Auto Theft,4,0
2293,2022,D13,Other Federal Statute Violations,Other,1,0
2294,2022,D22,Crimes Against Property,Theft Over $5000,4,0
2295,2023,D41,Crimes Against Property,Other,4,0
2296,2017,D11,Crimes Against the Person,Sexual Violation,1,0
2297,2016,NSA,Crimes Against the Person,Sexual Violation,1,0
2298,2015,NSA,Crimes Against the Person,Other,1,0
2299,2022,D12,Crimes Against Property,Theft Under $5000,19,0
2300,2021,D32,Crimes Against Property,Break & Enter-Commercial,6,0
2301,2021,D22,Crimes Against Property,Break & Enter-House,2,0
2302,2020,D11,Crimes Against Property,Fraud,28,0
2303,2018,D11,Crimes Against Property,Auto Theft,6,0
2304,2016,D55,Crimes Against the Person,Assault,1,0
2305,2019,D11,Crimes Against Property,Break & Enter-House,10,0
2306,2023,D33,Crimes Against Property,Break & Enter-Commercial,1,0
2307,2016,D11,Crimes Against Property,Auto Theft,1,0
2308,2016,D41,Crimes Against Property,Break & Enter-Commercial,3,0
2309,2018,D33,Crimes Against Property,Break & Enter-Apartment,7,0
2310,2018,D53,Crimes Against Property,Break & Enter-House,13,0
2311,2022,D13,Crimes Against Property,Theft Over $5000,7,0
2312,2017,D55,Crimes Against Property,Theft Over $5000,5,0
2313,2017,D11,Crimes Against Property,Theft Over $5000,12,0
2314,2015,D32,Crimes Against Property,Break & Enter-Other,1,0
2315,2015,D13,Crimes Against Property,Theft Over $5000,1,0
2316,2016,D22,Crimes Against Property,Break & Enter-Commercial,1,0
2317,2019,D32,Crimes Against Property,Theft Over $5000,1,0
2318,2023,D55,Crimes Against Property,Auto Theft,61,0
2319,2017,D55,Crimes Against Property,Theft Over $5000,2,0
2320,2016,D32,Crimes Against the Person,Robbery-Financial,1,0
2321,2017,D42,Crimes Against Property,Break & Enter-House,28,0
2322,2020,D33,Crimes Against Property,Theft Over $5000,6,0
2323,2018,D33,Crimes Against Property,Fraud,2,0
2324,2021,D51,Crimes Against the Person,Other,1,0
2325,2023,D43,Crimes Against Property,Fraud,5,0
2326,2014,D42,Crimes Against Property,Theft Over $5000,1,0
2327,2018,D32,Crimes Against Property,Break & Enter-Commercial,9,0
2328,2019,D12,Crimes Against Property,Break & Enter-Other,1,0
2329,2017,D22,Crimes Against Property,Other,6,0
2330,2017,D14,Crimes Against Property,Other,1,0
2331,2015,D23,Crimes Against Property,Auto Theft,37,0
2332,2020,D42,Crimes Against Property,Theft Over $5000,2,0
2333,2018,D11,Crimes Against Property,Theft Under $5000,3,0
2334,2017,D32,Crimes Against the Person,Robbery-Financial,1,0
2335,2016,NSA,Crimes Against the Person,Sexual Violation,1,0
2336,2023,D32,Crimes Against Property,Break & Enter-Other,1,0
2337,2016,D31,Crimes Against Property,Break & Enter-Other,2,0
2338,2020,D22,Crimes Against Property,Auto Theft,22,0
2339,2015,D33,Crimes Against Property,Break & Enter-Other,1,0
2340,2015,NSA,Crimes Against the Person,Sexual Violation,1,0
2341,2015,D12,Crimes Against Property,Break & Enter-House,4,0
2342,2020,D32,Crimes Against Property,Auto Theft,25,0
2343,2016,NSA,Crimes Against Property,Fraud,1,0
2344,2017,D14,Crimes Against Property,Theft Under $5000,1,0
2345,2023,D11,Crimes Against Property,Break & Enter-Commercial,1,0
2346,2022,D22,Crimes Against Property,Break & Enter-House,4,0
2347,2022,D12,Crimes Against the Person,Sexual Violation,1,0
2348,2016,D33,Crimes Against Property,Break & Enter-Other,3,0
