_id,REPORT_YEAR,DIVISION,CATEGORY,SUBTYPE,COUNT_,COUNT_CLEARED
106,2022,D53,Crimes Against the Person,Sexual Violation,3,0
107,2022,D41,Crimes Against Property,Break & Enter-Apartment,1,0
108,2016,D33,Crimes Against Property,Theft Over $5000,2,0
109,2015,D55,Crimes Against the Person,Robbery-Other,1,0
110,2020,D41,Crimes Against Property,Break & Enter-Commercial,2,0
111,2017,D33,Crimes Against Property,Theft Under $5000,1,0
112,2020,D12,Other Federal Statute Violations,Other,1,0
113,2022,D32,Crimes Against Property,Break & Enter-Apartment,1,0
114,2015,D41,Crimes Against Property,Break & Enter-Other,1,0
115,2019,D14,Crimes Against Property,Theft Under $5000,2,0
116,2021,D12,Crimes Against Property,Break & Enter-Apartment,2,0
117,2020,D53,Crimes Against Property,Theft Under $5000,3,0
118,2015,D23,Crimes Against Property,Theft Over $5000,1,0
119,2021,D32,Crimes Against Property,Break & Enter-Commercial,2,0
120,2018,D33,Crimes Against Property,Break & Enter-Commercial,4,0
121,2015,D55,Crimes Against Property,Fraud,1,0
122,2023,D23,Crimes Against Property,Theft Over $5000,1,0
123,2014,D23,Crimes Against Property,Theft Over $5000,1,0
124,2018,D22,Other Federal Statute Violations,Other,1,0
125,2023,D55,Crimes Against Property,Theft Over $5000,4,0
126,2018,D32,Crimes Against Property,Break & Enter-Apartment,5,0
127,2016,D33,Crimes Against Property,Theft Over $5000,1,0
128,2021,D13,Crimes Against Property,Break & Enter-Apartment,1,0
129,2018,D23,Crimes Against Property,Other,3,0
130,2016,D55,Crimes Against Property,Break & Enter-Other,1,0
131,2015,D42,Crimes Against Property,Break & Enter-Commercial,2,0
132,2022,D42,Crimes Against Property,Break & Enter-Apartment,1,0
133,2022,D23,Crimes Against Property,Break & Enter-Other,1,0
134,2022,D23,Crimes Against the Person,Sexual Violation,2,0
135,2018,D42,Crimes Against Property,Theft Over $5000,3,0
136,2023,D22,Crimes Against Property,Break & Enter-Other,2,0
137,2021,D52,Crimes Against the Person,Robbery-Other,3,0
138,2020,D12,Crimes Against Property,Theft Over $5000,2,0
139,2017,D42,Crimes Against Property,Theft Over $5000,1,0
140,2019,D52,Crimes Against Property,Break & Enter-Commercial,5,0
141,2021,D14,Other Federal Statute Violations,Other,1,0
142,2015,D41,Crimes Against Property,Auto Theft,14,0
